Time	Node	AppId	SeqNo	Type	DelayS	DelayUS	RetxCount	HopCount
6.52894	2	0	7	FullDelay	0.0289392	28939.2	1	1
6.52894	7	0	7	LastDelay	0.0289392	28939.2	1	1
6.52894	7	0	7	FullDelay	0.0289392	28939.2	1	1
6.52894	8	0	7	LastDelay	0.0289392	28939.2	1	1
6.52894	8	0	7	FullDelay	0.0289392	28939.2	1	1
6.52894	13	0	7	LastDelay	0.0289392	28939.2	1	1
6.52894	13	0	7	FullDelay	0.0289392	28939.2	1	1
6.52894	15	0	7	LastDelay	0.0289392	28939.2	1	1
6.52894	15	0	7	FullDelay	0.0289392	28939.2	1	1
6.52894	17	0	7	LastDelay	0.0289392	28939.2	1	1
6.52894	17	0	7	FullDelay	0.0289392	28939.2	1	1
6.52894	21	0	7	LastDelay	0.0289392	28939.2	1	1
6.52894	21	0	7	FullDelay	0.0289392	28939.2	1	1
6.52894	10	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	10	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	12	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	12	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	16	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	16	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	18	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	18	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	20	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	20	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	22	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	22	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	23	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	23	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	24	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	24	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	25	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	25	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	26	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	26	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	27	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	27	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	28	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	28	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	29	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	29	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	5	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	5	0	7	FullDelay	0.0289393	28939.3	1	1
6.52894	0	0	7	LastDelay	0.0289393	28939.3	1	1
6.52894	0	0	7	FullDelay	0.0289393	28939.3	1	1
7.50975	19	0	2	LastDelay	0.00975083	9750.83	1	0
7.50975	19	0	2	FullDelay	6.50975	6.50975e+06	3	0
7.51527	3	0	2	LastDelay	0.0152711	15271.1	1	1
7.51527	3	0	2	FullDelay	6.51527	6.51527e+06	3	1
7.5254	2	0	2	LastDelay	0.0254038	25403.8	1	1
7.5254	2	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	7	0	2	LastDelay	0.0254038	25403.8	1	1
7.5254	7	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	8	0	2	LastDelay	0.0254038	25403.8	1	1
7.5254	8	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	13	0	2	LastDelay	0.0254038	25403.8	1	1
7.5254	13	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	15	0	2	LastDelay	0.0254038	25403.8	1	1
7.5254	15	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	17	0	2	LastDelay	0.0254038	25403.8	1	1
7.5254	17	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	21	0	2	LastDelay	0.0254038	25403.8	1	1
7.5254	21	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	10	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	10	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	12	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	12	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	16	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	16	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	18	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	18	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	20	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	20	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	22	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	22	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	23	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	23	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	24	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	24	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	25	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	25	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	26	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	26	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	27	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	27	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	28	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	28	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	29	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	29	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	5	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	5	0	2	FullDelay	6.5254	6.5254e+06	3	1
7.5254	0	0	2	LastDelay	0.0254039	25403.9	1	1
7.5254	0	0	2	FullDelay	7.0254	7.0254e+06	3	1
8.51178	19	0	8	LastDelay	0.0117757	11775.7	1	0
8.51178	19	0	8	FullDelay	0.0117757	11775.7	1	0
8.51978	3	0	8	LastDelay	0.0197843	19784.3	1	1
8.51978	3	0	8	FullDelay	0.0197843	19784.3	1	1
8.52917	7	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	7	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	8	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	8	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	13	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	13	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	15	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	15	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	17	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	17	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	21	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	21	0	8	FullDelay	0.0291673	29167.3	1	1
8.52917	2	0	8	LastDelay	0.0291673	29167.3	1	1
8.52917	2	0	8	FullDelay	0.0291673	29167.3	1	1
